rowid,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_name,hip_name
353,b,1928,3.03,0.53,,5.1,Msini,,,HD 142022 A b,HIP 79242
354,b,1299,2.77,0.09,,1.9,Msini,,,HD 142245 b,HIP 77783
355,b,386.3,1.05,0.5,,1.62,Msini,,,HD 142415 b,HIP 78169
356,b,2.1974,0.0379,0.07,,1.21,Msini,,,HD 143105 b,HIP 77838
357,b,1046.2,1.98,0.193,,3.48,Msini,,,HD 143361 b,HIP 78521
358,b,103.95,0.45,0.307,,5.76,Msini,,,HD 145377 b,HIP 79346
359,b,176.3,0.76,0.112,,2.9,Msini,,,HD 145457 b,HIP 79219
361,b,5.77152,0.0634,0.172,,0.02026,Msini,,,HD 1461 b,HIP 1499
362,c,13.5052,0.1117,0.305,,0.01759,Msini,,,HD 1461 c,HIP 1499
363,b,44.236,0.2388,0.4686,,2.12,Msini,,,HD 147018 b,HIP 80250
364,c,1008,1.922,0.133,,6.56,Msini,,,HD 147018 c,HIP 80250
365,b,528.4,1.32,0.26,,1.21,Msini,,,HD 147513 b,HIP 80337
366,b,116.596,0.522,0.207,,5.14,Msini,,,HD 147873 b,HIP 80486
367,c,491.54,1.36,0.23,,2.3,Msini,,,HD 147873 c,HIP 80486
368,b,1027,2.45,0.52,,0.85,Msini,,,HD 148156 b,HIP 80680
369,b,331.5,0.93,0.16,,0.96,Msini,,,HD 148427 b,HIP 80687
370,b,2.8758911,,,84.55,0.368,Mass,0.813,0.85,HD 149026 b,HIP 80838
371,b,4.088,0.052,0.08,,1.36,Msini,,,HD 149143 b,HIP 81022
372,b,431.8,1.31,0.101,,3.1,Msini,,,HD 1502 b,HIP 1547
373,b,5894,6.7,0.38,,2.71,Msini,,,HD 150706 b,HIP 80902
